video_name,fall_start_sec,fall_end_sec
FallBackwardsS1.avi,2.8,5
FallBackwardsS2.avi,2.8,5.4
FallBackwardsS3.avi,2.7,6.9
FallBackwardsS4.avi,2.9,6.2
FallBackwardsS5.avi,1.3,5
FallBackwardsS6.avi,3.7,7
FallBackwardsS7.avi,3.4,6.1
FallBackwardsS8.avi,2.2,5.3
FallBackwardsS9.avi,2,5.6
FallBackwardsS10.avi,2.4,5.7
FallForwardS1.avi,5.7,8.1
FallForwardS2.avi,0.9,5.3
FallForwardS3.avi,3.7,7.6
FallForwardS4.avi,0.7,2.6
FallForwardS5.avi,2.3,5.3
FallForwardS6.avi,3.3,7.4
FallForwardS7.avi,1.1,4.2
FallForwardS8.avi,1.2,4.4
FallForwardS9.avi,1.7,4.4
FallForwardS10.avi,1.4,4.9
FallLeftS1.avi,1.4,3.6
FallLeftS2.avi,1.2,3.5
FallLeftS3.avi,4.8,6.9
FallLeftS4.avi,2.3,4.9
FallLeftS5.avi,6.2,6.4
FallLeftS6.avi,1.8,5.2
FallLeftS7.avi,2.6,5.2
FallLeftS8.avi,1.9,4
FallLeftS9.avi,1.5,5.4
FallLeftS10.avi,1.3,4.6
FallRightS1.avi,1.9,4
FallRightS2.avi,1.3,4
FallRightS3.avi,2.2,4.1
FallRightS4.avi,1.8,5
FallRightS5.avi,2.9,6.2
FallRightS6.avi,3.3,5.6
FallRightS7.avi,1.5,4.2
FallRightS8.avi,2,5
FallRightS9.avi,1.9,4.6
FallRightS10.avi,2.7,5.6
FallSittingS1.avi,3.9,7.1
FallSittingS2.avi,3.5,6.2
FallSittingS3.avi,2.3,6
FallSittingS4.avi,2.7,5.8
FallSittingS5.avi,2.3,5.5
FallSittingS6.avi,3.6,7.3
FallSittingS7.avi,1.8,5
FallSittingS8.avi,3.2,6.5
FallSittingS9.avi,2.4,6.7
FallSittingS10.avi,2.5,5.9
fall 1.mp4,1.2,3.2
fall 2.mp4,1.6,3.8
fall 3.mp4,1.1,3.2
fall 4.mp4,1.2,3.1
fall 5.mp4,1.1,2.7
fall 6.mp4,1.3,3.7
fall 7.mp4,3.2,5.5
fall 8.mp4,1.2,3.3
fall 9.mp4,1.5,3.6
fall 10.mp4,3.2,5
fall 11.mp4,4.3,7.2
fall 12.mp4,0.8,3.3
fall 13.mp4,3.8,6.1
fall 14.mp4,1.2,3
fall 15.mp4,2.1,4.2
cof_fall (1).avi,1.6,6.3
cof_fall (2).avi,0,2.1
cof_fall (3).avi,3.3,4.8
cof_fall (4).avi,3.2,4.5
cof_fall (5).avi,3.6,4.8
cof_fall (6).avi,0.5,2.4
cof_fall (7).avi,1.9,3.8
cof_fall (8).avi,0.8,4.1
cof_fall (9).avi,0.3,2.4
cof_fall (10).avi,2.1,3.9
cof_fall (11).avi,2.7,5
cof_fall (12).avi,7.4,9.5
cof_fall (13).avi,8.8,11.1
cof_fall (14).avi,4.9,7
cof_fall (15).avi,5.2,7
cof_fall (16).avi,5.5,7.3
cof_fall (17).avi,3.8,5.9
cof_fall (18).avi,6.3,8.1
cof_fall (19).avi,3.4,5.9
cof_fall (20).avi,8.2,10.4
cof_fall (21).avi,2.4,4.1
cof_fall (22).avi,3.7,5.4
cof_fall (23).avi,1.8,7
cof_fall (24).avi,2,3.6
cof_fall (25).avi,1.5,3.5
cof_fall (26).avi,0.7,2.7
cof_fall (27).avi,6.1,8.1
cof_fall (28).avi,3.4,5.8
cof_fall (29).avi,13,15.4
cof_fall (30).avi,3.3,4.8
cof_fall (31).avi,4.7,6.6
cof_fall (32).avi,8.1,10
cof_fall (33).avi,5.3,7.8
cof_fall (34).avi,7.9,9.7
cof_fall (35).avi,6.4,8.5
cof_fall (36).avi,2.5,4.5
cof_fall (37).avi,11.8,13
cof_fall (38).avi,6.1,7.8
cof_fall (39).avi,8.1,9.7
cof_fall (40).avi,3.4,5.1
cof_fall (41).avi,13.2,14.7
cof_fall (42).avi,2.9,5
cof_fall (43).avi,2.3,4.1
cof_fall (44).avi,9.4,11.1
cof_fall (45).avi,1.8,3.7
cof_fall (46).avi,10.3,12
cof_fall (47).avi,4.4,6.3
cof_fall (48).avi,2.7,4.6
cof_fall (49).avi,2.1,4.6
cof_fall (50).avi,3.9,5.9
cof_fall (51).avi,6.5,8.4
cof_fall (52).mp4,0,1.8
cof_fall (53).mp4,1.2,3.1
cof_fall (54).avi,3.3,5.5
cof_fall (55).avi,3.4,5
cof_fall (56).avi,6.3,8
cof_fall (57).avi,8.6,10.7
cof_fall (58).avi,7.3,9
cof_fall (59).avi,5.4,7
cof_fall (60).avi,5.2,6.6
cof_fall (61).avi,7,8.3
cof_fall (62).avi,5.4,7.2
home_fall (1).avi,6,7.6
home_fall (2).avi,4.9,6.5
home_fall (3).avi,5,6.6
home_fall (4).avi,6.3,8
home_fall (5).avi,4.6,6.1
home_fall (6).avi,5.8,7.5
home_fall (7).avi,4.8,6.5
home_fall (8).avi,6.1,7.4
home_fall (9).avi,5.3,6.8
home_fall (10).avi,5.4,7.5
home_fall (11).avi,6.3,7.9
home_fall (12).avi,6.3,7.6
home_fall (13).avi,7.4,9.1
home_fall (14).avi,6.9,8.5
home_fall (15).avi,7.5,9.3
home_fall (16).avi,6.3,8
home_fall (17).avi,5.5,7
home_fall (18).avi,5.3,7
home_fall (19).avi,6.1,7.7
home_fall (20).avi,6.1,7.5
home_fall (21).avi,6.2,7.8
home_fall (22).avi,6.8,8
home_fall (23).avi,5.3,6.9
home_fall (24).avi,7.1,8.3
home_fall (25).avi,5.2,6.4
home_fall (26).avi,6.8,8.3
home_fall (27).avi,6.9,8.2
home_fall (28).avi,6.3,8.7
home_fall (29).avi,5,6.8
home_fall (30).avi,8.2,10.3
home_fall (31).avi,3.4,5.2
home_fall (32).avi,4.8,6.5
home_fall (33).avi,6.2,8
home_fall (34).avi,5.2,7
home_fall (35).avi,5,6.5
home_fall (36).avi,5.1,6.8
home_fall (37).avi,4.4,6.7
lec_fall (1).avi,6.6,9.1
lec_fall (2).avi,9,10.6
lec_fall (3).mp4,3.5,4.6
lec_fall (4).avi,9.7,11.7
lec_fall (5).mp4,2.1,4.2
lec_fall (6).avi,3.6,5
lec_fall (7).avi,3,4.4
lec_fall (8).avi,3.3,4.6
lec_fall (9).avi,0,1.6
lec_fall (10).avi,1,2.4
lec_fall (11).avi,0.6,2
lec_fall (12).avi,1.3,2.8
lec_fall (13).mp4,3.8,5
off_fall (1).avi,6.1,7.7
off_fall (1).mp4,1.6,3
off_fall (2).avi,7.4,8.8
off_fall (2).mp4,3.9,5
off_fall (3).avi,5.3,6.8
off_fall (3).mp4,2.3,4.2
off_fall (4).avi,4.3,5.7
off_fall (4).mp4,1.8,3.8
off_fall (5).avi,2.3,4.8
off_fall (5).mp4,1.6,3.1
off_fall (6).mp4,0,1.6
off_fall (8).avi,7.6,9.3
off_fall (9).avi,2.9,4.8
off_fall (10).avi,8.7,10.5
off_fall (11).avi,4.5,6.6
